,Jahr,EW_per_sqkm
,1995,155
,1996,154
,1997,153
,1998,152
,1999,151
,2000,150
,2001,149
,2002,148
,2003,147
,2004,146
,2005,144
,2006,143
,2007,142
,2008,140
,2009,139
,2010,138
,2011,135
,2012,134
,2013,134
,2014,133
,2015,134
,2016,133
,2017,133
,2018,132
,2019,132
,2020,131
,2021,130
,2022,131
