,Jahr,EW_per_sqkm
,1995,163
,1996,164
,1997,165
,1998,165
,1999,166
,2000,166
,2001,167
,2002,168
,2003,168
,2004,168
,2005,168
,2006,168
,2007,167
,2008,167
,2009,166
,2010,166
,2011,163
,2012,163
,2013,164
,2014,164
,2015,167
,2016,167
,2017,167
,2018,167
,2019,168
,2020,168
,2021,168
,2022,171
