,Jahr,EW_per_sqkm
,1995,3897
,1996,3883
,1997,3846
,1998,3818
,1999,3799
,2000,3793
,2001,3800
,2002,3804
,2003,3800
,2004,3799
,2005,3807
,2006,3820
,2007,3834
,2008,3849
,2009,3861
,2010,3899
,2011,3730
,2012,3785
,2013,3838
,2014,3891
,2015,3948
,2016,4012
,2017,4055
,2018,4090
,2019,4090
,2020,4112
,2021,4127
,2022,4214
