,Jahr,EW_per_sqkm
,1995,134
,1996,133
,1997,132
,1998,131
,1999,130
,2000,128
,2001,126
,2002,125
,2003,123
,2004,122
,2005,121
,2006,119
,2007,118
,2008,116
,2009,115
,2010,114
,2011,111
,2012,110
,2013,110
,2014,109
,2015,110
,2016,109
,2017,109
,2018,108
,2019,107
,2020,107
,2021,106
,2022,107
