,Jahr,EW_per_sqkm
,1995,173
,1996,174
,1997,175
,1998,175
,1999,176
,2000,177
,2001,178
,2002,179
,2003,179
,2004,179
,2005,179
,2006,179
,2007,180
,2008,179
,2009,179
,2010,179
,2011,177
,2012,178
,2013,178
,2014,179
,2015,181
,2016,182
,2017,183
,2018,183
,2019,184
,2020,184
,2021,185
,2022,187
