,Jahr,EW_per_sqkm
,1995,525
,1996,527
,1997,527
,1998,527
,1999,528
,2000,528
,2001,530
,2002,530
,2003,530
,2004,530
,2005,530
,2006,529
,2007,528
,2008,526
,2009,524
,2010,523
,2011,515
,2012,515
,2013,515
,2014,517
,2015,524
,2016,524
,2017,525
,2018,526
,2019,526
,2020,525
,2021,525
,2022,532
