,Jahr,EW_per_sqkm
,1995,285
,1996,285
,1997,286
,1998,286
,1999,287
,2000,287
,2001,288
,2002,288
,2003,288
,2004,289
,2005,289
,2006,288
,2007,288
,2008,287
,2009,287
,2010,287
,2011,284
,2012,285
,2013,286
,2014,289
,2015,293
,2016,294
,2017,296
,2018,297
,2019,298
,2020,298
,2021,298
,2022,303
