,Jahr,EW_per_sqkm
,1995,289
,1996,290
,1997,291
,1998,292
,1999,293
,2000,294
,2001,297
,2002,298
,2003,299
,2004,300
,2005,300
,2006,300
,2007,301
,2008,301
,2009,301
,2010,301
,2011,294
,2012,296
,2013,297
,2014,300
,2015,304
,2016,306
,2017,308
,2018,310
,2019,311
,2020,311
,2021,311
,2022,316
