,Jahr,EW_per_sqkm
,1995,2262
,1996,2262
,1997,2257
,1998,2251
,1999,2257
,2000,2271
,2001,2286
,2002,2289
,2003,2296
,2004,2297
,2005,2309
,2006,2323
,2007,2344
,2008,2347
,2009,2349
,2010,2366
,2011,2275
,2012,2296
,2013,2312
,2014,2334
,2015,2366
,2016,2397
,2017,2424
,2018,2438
,2019,2446
,2020,2453
,2021,2455
,2022,2506
