,Jahr,EW_per_sqkm
,1995,200
,1996,202
,1997,202
,1998,203
,1999,203
,2000,203
,2001,204
,2002,204
,2003,204
,2004,205
,2005,204
,2006,204
,2007,204
,2008,203
,2009,202
,2010,202
,2011,201
,2012,201
,2013,201
,2014,202
,2015,204
,2016,205
,2017,205
,2018,206
,2019,206
,2020,206
,2021,207
,2022,209
