,Jahr,EW_per_sqkm
,1995,422
,1996,422
,1997,421
,1998,418
,1999,417
,2000,416
,2001,415
,2002,415
,2003,413
,2004,411
,2005,409
,2006,406
,2007,404
,2008,401
,2009,398
,2010,396
,2011,388
,2012,387
,2013,386
,2014,385
,2015,388
,2016,388
,2017,387
,2018,385
,2019,384
,2020,383
,2021,382
,2022,386
