,Jahr,EW_per_sqkm
,1995,248
,1996,247
,1997,246
,1998,244
,1999,242
,2000,240
,2001,238
,2002,236
,2003,235
,2004,233
,2005,232
,2006,231
,2007,229
,2008,228
,2009,226
,2010,225
,2011,220
,2012,220
,2013,220
,2014,220
,2015,221
,2016,221
,2017,221
,2018,221
,2019,221
,2020,220
,2021,219
,2022,221
