,Jahr,EW_per_sqkm
,1991,229
,1992,231
,1993,232
,1994,233
,1995,234
,1996,235
,1997,235
,1998,235
,1999,235
,2000,236
,2001,236
,2002,236
,2003,237
,2004,237
,2005,236
,2006,236
,2007,236
,2008,236
,2009,235
,2010,235
,2011,230
,2012,231
,2013,231
,2014,232
,2015,234
,2016,236
,2017,237
,2018,237
,2019,233
,2020,233
,2021,233
,2022,236
