,Jahr,EW_per_sqkm
,1995,1682
,1996,1677
,1997,1667
,1998,1652
,1999,1640
,2000,1633
,2001,1632
,2002,1638
,2003,1640
,2004,1641
,2005,1641
,2006,1642
,2007,1640
,2008,1637
,2009,1637
,2010,1576
,2011,1556
,2012,1562
,2013,1568
,2014,1578
,2015,1599
,2016,1617
,2017,1624
,2018,1629
,2019,1624
,2020,1621
,2021,1613
,2022,1632
