,Jahr,EW_per_sqkm
,1995,170
,1996,171
,1997,171
,1998,171
,1999,172
,2000,173
,2001,175
,2002,176
,2003,176
,2004,176
,2005,177
,2006,177
,2007,177
,2008,177
,2009,177
,2010,178
,2011,176
,2012,177
,2013,179
,2014,180
,2015,182
,2016,183
,2017,184
,2018,185
,2019,186
,2020,186
,2021,187
,2022,190
